lat,lon,행정동,승차인원
126.987752,37.569808,동선동,88065
126.996566,37.57918302,와룡동,6787
126.998251,37.582581,종로1·2·3·4가동,39868
127.0092322,37.58985251,삼선동,60435
126.966893,37.566137,교남동,28437
126.97038,37.569135,사직동,42636
127.0057137,37.57112723,종로5·6가동,27288
127.013813,37.572449,창신1동,8569
127.012453,37.572102,창신2동,8063
127.0184085,37.57377866,숭인2동,21023
126.9725135,37.58785196,청운효자동,20586
126.976545,37.569495,명동,45718
126.960888,37.604663,신영동,989
126.9612198,37.60250228,연희동,4319
126.9585702,37.59941335,홍지동,716
126.9617068,37.59813307,부영동,2399
126.956482,37.61148,숭인1동,14419
126.963535,37.604371,창신3동,16645
126.959464,37.5732127,부암동,905
127.002437,37.578043,정릉1동,31666
127.0022769,37.58111949,정릉2동,45296
127.0013282,37.58402281,혜화동,5474
126.956622,37.609682,구기동,158
126.955021,37.6016197,이화동,673
126.9597922,37.59944351,명륜1가동,153
126.9581941,37.59957181,명륜2가동,1112
126.9668167,37.60568122,평창동,940
126.981647,37.5882277,삼청동,869
126.9928637,37.59094838,명륜3가동,1010
126.96583,37.56647453,충현동,37652
126.9893671,37.58141098,가회동,3460
126.957402,37.5998545,홍은1동,24430
126.9743627,37.55876338,회현동,61026
126.969222,37.5516705,청파동,25448
126.969224,37.5624764,중림동,17223
126.991777,37.5612508,필동,8463
127.0063778,37.56607471,광희동,19567
127.002595,37.5658244,을지로동,4527
127.01948,37.5654921,신당5동,16575
127.015002,37.56262781,신당동,13627
127.015191,37.56231,동화동,1357
127.018274,37.5598127,청구동,5432
127.009322,37.556256,다산동,9055
127.006024,37.5478042,약수동,15435
126.9988218,37.55069862,장충동,6262
127.019188,37.5579233,금호1가동,10772
127.0170566,37.55377553,금호2·3가동,19995
126.963121,37.524049,한강로동,61874
126.9725378,37.54329563,남영동,55422
126.9706761,37.54057027,원효로1가,26170
126.9581798,37.53404076,원효로2가,17462
126.987109,37.5398055,용산2가동,34135
126.987057,37.5371418,이태원2동,10109
126.991204,37.530284,이태원1동,13269
126.9922522,37.52547487,서빙고동,18153
127.002202,37.545795,개포2동,29153
127.00204,37.544437,개포4동,77539
126.980835,37.552282,방배1동,33278
126.9584647,37.54063689,개포1동,13155
127.0016696,37.54072646,개포3동,12808
126.9809588,37.54669893,후암동,2488
127.0122608,37.53794297,한남동,6643
126.9661232,37.52147569,이촌1동,13807
126.9591929,37.54588062,공덕동,50705
126.9610379,37.53878602,용문동,5857
127.0020297,37.524738,보광동,17490
126.9530904,37.53011637,이촌2동,8628
127.0067506,37.53263055,방배본동,16338
127.0543962,37.56544961,삼성1동,62462
127.060482,37.562035,삼성2동,41335
127.066093,37.561188,장안1동,45190
127.0292414,37.56424565,왕십리2동,6924
127.0286813,37.56469363,왕십리도선동,24265
127.0445738,37.5673235,논현2동,48109
127.0342431,37.55800694,행당1동,24965
127.0338673,37.55789531,행당2동,18158
127.0335008,37.55339896,응봉동,8339
127.0218686,37.54808522,금호4가동,17676
127.0148476,37.54362049,옥수동,9243
127.0113027,37.54090407,목동,3983
127.0496949,37.53811067,성수1가1동,10876
127.0446066,37.54638657,성수1가2동,5648
127.0509024,37.5399538,성수2가1동,16251
127.0622986,37.53969986,성수2가3동,18046
127.0569422,37.54926927,송정동,17511
127.047589,37.57013733,용답동,3240
127.049044,37.56128694,사근동,2485
127.0112565,37.54180878,마장동,3632
127.043216,37.5538279,행당동,9
127.038629,37.5635529,논현1동,51491
127.075646,37.558741,중곡1동,15596
127.082473,37.5560989,중곡2동,25544
127.090149,37.5512085,구의2동,29064
127.102649,37.545741,광장동,10158
127.080994,37.5652136,중곡3동,13320
127.086968,37.5641992,중곡4동,7519
127.077032,37.5520459,구의1동,19255
127.094254,37.5395847,구의3동,13426
127.083153,37.5384883,자양1동,18329
127.075013,37.5303695,자양2동,29302
127.066875,37.5355719,자양4동,9924
127.069288,37.5349118,자양3동,14587
127.067089,37.5472318,화양동,22704
127.076709,37.5577086,군자동,10860
127.070755,37.5486923,장안동,1281
127.099649,37.5404652,_곡2동,736
127.055061,37.5651871,답십리1동,40242
127.038322,37.5741,용신동,75380
127.067704,37.5916996,휘경2동,27208
127.060685,37.589692,휘경1동,44690
