line,name,code,lat,lng,행정동
01호선,녹양,1908,37.75938,127.042292,녹양동
01호선,남영,1002,37.541021,126.9713,남영동
01호선,용산,1003,37.529849,126.964561,한강로동
01호선,노량진,1004,37.514219,126.942454,노량진1동
01호선,대방,1005,37.513342,126.926382,대방동
01호선,영등포,1006,37.515504,126.907628,영등포본동
01호선,신도림,1007,37.508725,126.891295,신도림동
01호선,회기,1015,37.58946,127.057583,휘경1동
01호선,외대앞,1016,37.596073,127.063549,이문2동
01호선,신이문,1017,37.601854,127.067325,이문1동
01호선,광운대,1019,37.623632,127.061835,월계1동
01호선,월계,1020,37.633212,127.058831,월계2동
01호선,녹천,1021,37.644799,127.051269,월계2동
01호선,창동,1022,37.653166,127.047731,창4동
01호선,신길,1032,37.517122,126.917169,영등포동
01호선,석계,1018,37.614805,127.065851,월계1동
01호선,봉명,1401,36.801215,127.135763,봉명동
01호선,쌍용,1402,36.793759,127.1214,쌍용2동
01호선,온양온천,1407,36.780483,127.003249,온천동
01호선,구로,1701,37.503039,126.881966,신도림동
01호선,가산디지털단지,1702,37.481072,126.882343,가산동
01호선,금천구청,1703,37.455626,126.89398,시흥1동
01호선,관악,1705,37.419232,126.908706,석수동
01호선,안양,1706,37.401592,126.922874,안양동
01호선,명학,1707,37.384653,126.935433,안양동
01호선,금정,1708,37.372221,126.943429,금정동
01호선,의왕,1710,37.320852,126.948217,삼동
01호선,성균관대,1711,37.300349,126.97075,율전동
01호선,석수,1704,37.435047,126.902295,석수동
01호선,화서,1712,37.283862,126.989627,화서동
01호선,독산,1714,37.466613,126.889249,독산1동
01호선,세류,1715,37.245025,127.013222,세류동
01호선,병점,1716,37.207503,127.032731,병점동
01호선,세마,1717,37.187533,127.04318,세교동
01호선,오산대,1718,37.168953,127.063197,수청동
01호선,송탄,1721,37.075696,127.054301,송탄
01호선,서정리,1722,37.056496,127.052819,송탄
01호선,성환,1725,36.916076,127.126964,성환리
01호선,두정,1727,36.833705,127.14896,두정동
01호선,천안,1728,36.810005,127.146826,대흥동
01호선,광명,1750,37.416182,126.884466,일직동
01호선,개봉,1801,37.494594,126.85868,개봉2동
01호선,오류동,1802,37.494526,126.845365,오류2동
01호선,역곡,1803,37.485178,126.811502,역곡동
01호선,군포,1709,37.35356,126.948462,군포1동
01호선,당정,1729,37.344285,126.948345,군포2동
01호선,서동탄,1749,37.195504,127.051672,외삼미동
01호선,부천,1804,37.48405,126.782686,심곡본동
01호선,송내,1805,37.4876,126.753664,상동
01호선,부평,1806,37.489493,126.724805,부평동
01호선,백운,1807,37.483664,126.707704,부평동
01호선,주안,1809,37.464941,126.679923,주안1동
01호선,제물포,1810,37.466769,126.656666,도화2·3동
01호선,동인천,1811,37.475276,126.632802,동인천동
01호선,인천,1812,37.476691,126.616936,북성동
01호선,구일,1813,37.496756,126.870793,구로1동
01호선,소사,1814,37.482753,126.79544,소사동
01호선,부개,1815,37.488418,126.74109,부개동
01호선,간석,1816,37.464737,126.694181,주안6동
01호선,도원,1817,37.468446,126.642706,금창동
01호선,온수,1821,37.492258,126.823388,수궁동
01호선,중동,1822,37.486562,126.764843,중동
01호선,오산,1719,37.145885,127.06672,오산동
01호선,동암,1808,37.471408,126.702896,십정동
01호선,도화,1823,37.46607,126.668672,도화2·3동
01호선,방학,1901,37.667503,127.044273,방학1동
01호선,도봉,1902,37.679563,127.045595,도봉2동
