lat,lng,행정동,con,
37.535095,127.094681,구의3동,178.9,
37.520733,127.10379,신천동,162.1,
37.51395,127.102234,잠실6동,330.3,
37.511687,127.086162,잠실2동,175,
37.510997,127.073642,잠실7동,162,`
37.508844,127.06316,대치2동,255.5,
37.504503,127.049008,삼성2동,188.9,
37.500622,127.036456,역삼1동,482.4,
37.493415,127.01408,서초3동,901.9,
37.481426,126.997596,방배3동,316.8,
37.47653,126.981685,방배2동,331.8,
37.47693,126.963693,인헌동,328.7,
37.481247,126.952739,행운동,323.2,
37.482362,126.941892,청룡동,289.9,
37.484201,126.929715,서원동,280.8,
37.487462,126.913149,조원동,238.8,
37.485266,126.901401,구로3동,387.2,
37.508725,126.891295,신도림동,287.4,
37.517933,126.89476,문래동,267,
37.52497,126.895951,당산1동,386,
37.566014,126.982618,명동,337.1,
37.566295,126.99191,을지로동,871.3,
37.565972,127.01782,신당동,362,
37.555273,127.043655,사근동,177.4,
37.547184,127.047367,성수1가2동,166.6,
37.544581,127.055961,성수2가3동,160.9,
37.540693,127.07023,화양동,345,
37.537077,127.085916,자양2동,184.2,
37.53438,126.902281,당산2동,248.5,
37.549463,126.913739,합정동,328.5,
37.557192,126.925381,서교동,328.7,
37.555134,126.936893,신촌동,169.9,
37.556733,126.946013,아현동,462.2,
37.559973,126.963672,충현동,386.4,
37.57004,127.046481,용답동,121,
37.531768,126.846683,화곡1동,219.5,
37.561533,127.037732,행당1동,341.5,
37.564354,127.029354,왕십리2동,265.5,
37.49297,126.895801,대림3동,401.7,
37.484147,127.034631,양재1동,103.6,
37.486947,127.046769,도곡1동,58.4,
37.490858,127.055381,대치1동,46.2,
37.493514,127.079532,일원1동,66.1,
37.483681,127.08439,일원본동,57.8,
37.487371,127.10188,수서동,54.3,
37.559052,127.005602,장충동,124.9,
37.548034,127.015872,금호4가동,146.1,
37.540685,127.017965,옥수동,151.9,
37.527072,127.028461,신사동,138.7,
37.516334,127.020114,논현1동,250.5,
37.512759,127.01122,잠원동,141.5,
37.575762,126.97353,사직동,235.4,
37.576477,126.985443,동선동,385,
37.648048,126.913951,효자동,104.9,
37.636763,126.918821,진관동,91.8,
37.619001,126.921008,불광2동,155.1,
37.610469,126.929887,불광1동,163.2,
37.600927,126.935756,녹번동,141.9,
37.589066,126.943736,홍제3동,158.9,
37.582299,126.950291,홍제1동,155.2,
37.574571,126.957748,영천동,155.2,
37.492522,127.118234,가락1동,477.8,
37.495918,127.12454,가락본동,143.4,
37.55434,127.010655,옥수동,213.3,
37.561243,126.99428,필동,127.5,
37.527788,127.136248,성내3동,113.3,
37.516078,127.130848,오륜동,97.7,
37.577446,126.812741,방화3동,6.4,
37.572399,126.806171,방화2동,44.1,
37.561184,126.811973,공항동,82.9,
37.558598,126.837668,마곡지구도시개발지구,50.2,
37.548768,126.836318,발산1동,77.3,
37.524997,126.856191,신정4동,113.5,
37.526065,126.864931,목1동,253.2,
37.522669,126.905139,영등포동,234.2,
37.521624,126.924191,여의동,230,
37.539574,126.945932,도화동,126.6,
37.544018,126.951592,공덕동,204.3,
37.554548,127.020331,금호1가동,102.3,
37.557322,127.029476,행당2동,104.8,
37.5661,127.042973,마장동,120.1,
37.56144,127.064623,장안1동,116.9,
37.557121,127.079542,중곡2동,310.7,
37.551691,127.089761,구의2동,151.2,
37.545303,127.10357,광장동,143.7,
37.538397,127.123572,성내2동,270.4,
37.537801,127.140004,길동,117.4,
37.545477,127.142853,천호1동,106.5,
37.55137,127.143999,명일1동,82.4,
37.555004,127.154151,명일2동,57.9,
37.556712,127.166417,고덕2동,31.4,
37.508857,127.126133,방이1동,93.4,
37.498079,127.13482,가락2동,56.3,
37.493105,127.14415,거여1동,26.5,
37.49499,127.152781,마천1동,10.7,
37.565138,127.007896,광희동,95.1,
37.560245,127.013828,청구동,192.2,
37.547716,126.922852,서강동,154.1,
37.547771,126.942069,대흥동,75,
37.548013,127.007055,다산동,74.5,
